,title,publishers,sheet_music,date,month,day,year,chart
56,CENTAVITO,(I Love Amiguita  Inc. -- ASCAP/Uni-versal Musica  Inc. -- ASCAP),HL,2019-01-05,01,05,2019,LT  35
57,CHANGED,(CentricSongs -- SESAC/Capitol CMG Amplifier -- SESAC/Centricity Music Publishing -- ASCAP/Capitol CMG Genesis -- ASCAP/Colby Wedgeworth Music -- ASCAP/Essential Music Publishing -- ASCAP/Fair Trade Music Publishing -- ASCAP),HL,2019-01-05,01,05,2019,CST  26
58,CHLORINE,(Warner-Tamerlane Publishing Corp. -- BMI/Stryker Joseph Music -- BMI/Marigny Music -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP),AMP,2019-01-05,01,05,2019,RO  32
59,CHRISTMAS (BABY PLEASE COME HOME),(Not Listed),,2019-01-05,01,05,2019,H100  43
60,CHRISTMAS EVERY DAY,(ArchieSongs -- ASCAP/Look I Have Publishing -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/BMG Gold Songs -- ASCAP/Lawnwranglers -- ASCAP),,2019-01-05,01,05,2019,CST  48
61,CHRISTMAS IS ALL ABOUT YOU,(Sony/ATV Tree Publishing -- BMI/Songs For My Good Girl Music -- BMI/Dayspring Music -- LLC -- BMI/Goes Something Like THIS Music -- BMI/Warner-Tamerlane Publishing Corp. -- BMI),AMP/HL,2019-01-05,01,05,2019,CST  50
62,CHRISTMAS IS HERE,(Word Music -- LLC -- ASCAP/WB Music Corp. -- ASCAP/Meaux Jeaux Music -- SESAC/Da Bears Da Bears Da Bears Music -- SESAC/Capitol CMG Amplifier -- SESAC),AMP/HL,2019-01-05,01,05,2019,CST  36
63,THE CHRISTMAS SONG,(Sony/ATV Songs LLC -- BMI/tuneCORE Publishing -- BMI),HL,2019-01-05,01,05,2019,CST   1 ; H100  55
64,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),(Edwin H. Morris & Company -- BMI/MPL Communications -- BMI/Songs Of Kobalt Music Publishing America  Inc. -- BMI),,2019-01-05,01,05,2019,H100  11
65,CHRISTMAS TIME IS HERE,(Lee Mendelson Film Productions Inc. -- BMI),,2019-01-05,01,05,2019,CST  44
66,CLOSE FRIENDS,(Four Entertainment Music -- ASCAP/Wolf Pack Global Music Publishingl -- ASCAP/Quality Control QC Pro -- ASCAP/Univer-sal Music Corp. -- ASCAP/Turbo Publishing LLC -- BMI),HL,2019-01-05,01,05,2019,RBH  42
67,CLOSE TO ME,(MXM -- ASCAP/Kobalt Songs Music Publishing LLC -- ASCAP/Wolf Cousins -- STIM/Warner/Chappell Music Scandinavia AB -- STIM/Global Talent Music Publishing -- STIM/EarDrummers Entertainment LLC -- BMI/Warner-Tamerlane Publishing Corp. -- BMI/I Like Turtles Music -- ASCAP/KMR Music Royalties II SCSp -- ASCAP),AMP,2019-01-05,01,05,2019,DES   3 ; H100  60
68,COME CLOSER,(Not Listed),,2019-01-05,01,05,2019,RBH  48
69,CONFIDENCE,(So Essential Tunes -- SESAC/1978 Music -- SESAC/Caelum Terra Music -- SESAC/Bluehouse Music -- SESAC/Be Essential Songs -- BMI/EGH Music Publishing LLC -- BMI/Word-spring Music -- LLC -- SESAC/Eyes Up Songs -- SESAC),,2019-01-05,01,05,2019,CST  11
70,CONSEQUENCES,(Sony/ATV Songs LLC -- BMI/Sony/ATV Music Publishing UK Ltd -- PRS/Maid-metal Limited -- PRS/Milamoon Songs -- BMI/WB Music Corp. -- ASCAP/Cookie Jar Music LLP -- PRS/Warner-Tamerlane Publishing Corp. -- BMI/A Girl Named Charlie -- BMI/Thankful For This Music -- ASCAP),AMP/HL,2019-01-05,01,05,2019,H100  75
71,COULD’VE BEEN,(Universal Music Corp. -- ASCAP/I Am H.E.R. Publishing -- ASCAP/DII Music LLC Global Publishing -- BMI/Tailored 4U Music -- BMI/BMG Platinum Songs -- BMI/Next Up Music Group -- ASCAP/WB Music Corp. -- ASCAP/Progressive 86 -- SESAC/Some Like It Hot Publishing -- SESAC/Sony/ATV Sonata -- SESAC),AMP/HL,2019-01-05,01,05,2019,RBS   9
72,COZY LITTLE CHRISTMAS,(When I’m Rich You’ll Be My Bitch -- ASCAP/WB Music Corp. -- ASCAP/Crown And Scepter Music -- ASCAP/Unsub Pub LLC -- ASCAP/Firehouse Cat Music -- ASCAP/BMG Gold Songs -- ASCAP),AMP,2019-01-05,01,05,2019,H100  53
73,CRAB RAVE,(Monstercat -- SOCAN),,2019-01-05,01,05,2019,DES  25
